National Instruments Acquisition
Time    Acc002_z    Volt001
0.000000 -1.344746 -4.260476
0.000488 -1.339050 -4.324259
0.000977 -1.327547 -4.369738
0.001465 -1.332043 -4.399304
0.001953 -1.324212 -4.412702
0.002441 -1.317130 -4.408999
0.002930 -1.295697 -4.387127
0.003418 -1.273515 -4.346965
0.003906 -1.264710 -4.288140
0.004395 -1.249834 -4.209228
0.004883 -1.240392 -4.116563
0.005371 -1.230912 -4.013346
0.005859 -1.199624 -3.897411
0.006348 -1.173170 -3.768290
0.006836 -1.148590 -3.628379
0.007324 -1.110895 -3.477883
0.007813 -1.059823 -3.318262
0.008301 -0.989267 -3.150620
0.008789 -0.916612 -2.969792
0.009277 -0.834965 -2.784805
0.009766 -0.754779 -2.604497
0.010254 -0.691342 -2.425088
0.010742 -0.605423 -2.242740
0.011230 -0.535316 -2.063290
0.011719 -0.469893 -1.895196
0.012207 -0.332902 -1.732369
0.012695 -0.212136 -1.574169
0.013184 -0.082452 -1.420814
0.013672 0.085227 -1.270721
0.014160 0.242451 -1.131568
0.014648 0.473267 -1.001304
0.015137 0.696252 -0.875427
0.015625 0.873186 -0.762006
0.016113 1.085155 -0.652397
0.016602 1.226717 -0.541390
0.017090 1.278013 -0.449547
0.017578 1.343848 -0.373893
0.018066 1.377609 -0.304677
0.018555 1.395257 -0.244739
0.019043 1.458057 -0.191017
0.019531 1.545550 -0.138746
0.020020 1.645820 -0.087924
0.020508 1.722596 -0.040431
0.020996 1.810539 0.006299
0.021484 1.888664 0.054767
0.021973 1.976157 0.105622
0.022461 2.093288 0.160812
0.022949 2.213605 0.224352
0.023438 2.346474 0.289690
0.023926 2.455362 0.364099
0.024414 2.614423 0.463445
0.024902 2.756285 0.582011
0.025391 2.848162 0.720674
0.025879 2.963307 0.884098
0.026367 3.043943 1.074170
0.026855 3.129637 1.296284
0.027344 3.186742 1.550973
0.027832 3.191688 1.840924
0.028320 3.205964 2.168781
0.028809 3.213383 2.531144
0.029297 3.210985 2.930339
0.029785 3.178573 3.366961
0.030273 3.119221 3.837113
0.030762 3.036674 4.334339
0.031250 2.922390 4.849286
0.031738 2.803797 5.372192
0.032227 2.679284 5.887139
0.032715 2.533000 6.383763
0.033203 2.387991 6.831516
0.033691 2.267899 7.215956
0.034180 2.155376 7.546044
0.034668 2.041730 7.800687
0.035156 1.918415 7.959882
0.035645 1.794352 8.009355
0.036133 1.684190 7.945530
0.036621 1.582608 7.740282
0.037109 1.495752 7.390279
0.037598 1.436812 6.933421
0.038086 1.393459 6.355640
0.038574 1.369553 5.660074
0.039063 1.381244 4.869537
0.039551 1.367567 3.997238
0.040039 1.344261 3.063159
0.040527 1.360035 2.080010
0.041016 1.383117 1.060749
0.041504 1.392972 0.011810
0.041992 1.400691 -1.058149
0.042480 1.443744 -2.139553
0.042969 1.494478 -3.223725
0.043457 1.541503 -4.297731
0.043945 1.575601 -5.345919
0.044434 1.536857 -6.344099
0.044922 1.443931 -7.262803
0.045410 1.328898 -8.073139
0.045898 1.210117 -8.752728
0.046387 1.059000 -9.284863
0.046875 0.920961 -9.656618
0.047363 0.865093 -9.872078
0.047852 0.799895 -9.938462
0.048340 0.723718 -9.851547
0.048828 0.665864 -9.616729
0.049316 0.630117 -9.264925
0.049805 0.576010 -8.820311
0.050293 0.486832 -8.265979
0.050781 0.465249 -7.641273
0.051270 0.410130 -7.009445
0.051758 0.288615 -6.357935
0.052246 0.185497 -5.692596
0.052734 0.073686 -5.034330
0.053223 -0.037450 -4.410191
0.053711 -0.180174 -3.831805
0.054199 -0.287788 -3.274958
0.054688 -0.361605 -2.767244
0.055176 -0.520965 -2.313469
0.055664 -0.663876 -1.894516
0.056152 -0.776324 -1.529994
0.056641 -0.911067 -1.217661
0.057129 -1.057762 -0.949242
0.057617 -1.221619 -0.723716
0.058105 -1.393794 -0.536626
0.058594 -1.609772 -0.384037
0.059082 -1.807127 -0.261223
0.059570 -1.959668 -0.169694
0.060059 -2.120640 -0.103053
0.060547 -2.294801 -0.054364
0.061035 -2.433141 -0.018663
0.061523 -2.566422 0.012539
