National Instruments Acquisition
Time    Acc002_z    Volt001
0.000000 0.748186 0.103915
0.000488 0.790714 0.073053
0.000977 0.829608 0.042811
0.001465 0.865917 0.012625
0.001953 0.903649 -0.017419
0.002441 0.939808 -0.047818
0.002930 0.972070 -0.078856
0.003418 1.004144 -0.111161
0.003906 1.034907 -0.145363
0.004395 1.062635 -0.183590
0.004883 1.092761 -0.225896
0.005371 1.120114 -0.272070
0.005859 1.141247 -0.324267
0.006348 1.156685 -0.381833
0.006836 1.168451 -0.444790
0.007324 1.177631 -0.514144
0.007813 1.168526 -0.589219
0.008301 1.152264 -0.670339
0.008789 1.138512 -0.756973
0.009277 1.119290 -0.848824
0.009766 1.094522 -0.948764
0.010254 1.063085 -1.055227
0.010742 1.035020 -1.165599
0.011230 1.007367 -1.282408
0.011719 0.976828 -1.405301
0.012207 0.949063 -1.532972
0.012695 0.917101 -1.664555
0.013184 0.879893 -1.798738
0.013672 0.847781 -1.934939
0.014160 0.816044 -2.071738
0.014648 0.780110 -2.207674
0.015137 0.746799 -2.340972
0.015625 0.712139 -2.466614
0.016113 0.681939 -2.580849
0.016602 0.657508 -2.690885
0.017090 0.631092 -2.801395
0.017578 0.602539 -2.909181
0.018066 0.571364 -3.012184
0.018555 0.539177 -3.107984
0.019043 0.507665 -3.195325
0.019531 0.476377 -3.273307
0.020020 0.439694 -3.340755
0.020508 0.404697 -3.396490
0.020996 0.373597 -3.439619
0.021484 0.339274 -3.470081
0.021973 0.302703 -3.487605
0.022461 0.264971 -3.491860
0.022949 0.225515 -3.484160
0.023438 0.184785 -3.465000
0.023926 0.146378 -3.434773
0.024414 0.101901 -3.394906
0.024902 0.056300 -3.343737
0.025391 0.015757 -3.281952
0.025879 -0.027071 -3.210084
0.026367 -0.067764 -3.127376
0.026855 -0.111417 -3.035843
0.027344 -0.160427 -2.937644
0.027832 -0.207865 -2.834237
0.028320 -0.256988 -2.724926
0.028809 -0.307423 -2.610157
0.029297 -0.358757 -2.489144
0.029785 -0.407993 -2.361854
0.030273 -0.448947 -2.231288
0.030762 -0.487055 -2.099753
0.031250 -0.522914 -1.968507
0.031738 -0.559559 -1.837331
0.032227 -0.595381 -1.705718
0.032715 -0.624982 -1.567899
0.033203 -0.651623 -1.428810
0.033691 -0.678227 -1.298344
0.034180 -0.705580 -1.170583
0.034668 -0.734507 -1.044056
0.035156 -0.765008 -0.919366
0.035645 -0.788727 -0.794355
0.036133 -0.811321 -0.671243
0.036621 -0.831705 -0.549330
0.037109 -0.844332 -0.427988
0.037598 -0.860220 -0.307808
0.038086 -0.876257 -0.188409
0.038574 -0.883451 -0.069889
0.039063 -0.880941 0.045665
0.039551 -0.877381 0.157853
0.040039 -0.875283 0.269035
0.040527 -0.869550 0.379273
0.041016 -0.859358 0.489091
0.041504 -0.846730 0.597939
0.041992 -0.833616 0.705762
0.042480 -0.814131 0.812947
0.042969 -0.794909 0.918091
0.043457 -0.769280 1.022929
0.043945 -0.735519 1.124786
0.044434 -0.715173 1.223512
0.044922 -0.686133 1.322940
0.045410 -0.641019 1.419849
0.045898 -0.597254 1.513321
0.046387 -0.553339 1.603233
0.046875 -0.513359 1.688197
0.047363 -0.469631 1.769325
0.047852 -0.423842 1.844747
0.048340 -0.382138 1.914579
0.048828 -0.334851 1.978093
0.049316 -0.297755 2.032375
0.049805 -0.276735 2.082789
0.050293 -0.251592 2.130727
0.050781 -0.225213 2.173482
0.051270 -0.204080 2.211936
0.051758 -0.191003 2.245279
0.052246 -0.180699 2.274834
0.052734 -0.170132 2.300080
0.053223 -0.165074 2.320959
0.053711 -0.154132 2.336820
0.054199 -0.155257 2.344823
0.054688 -0.172081 2.351810
0.055176 -0.178675 2.359716
0.055664 -0.187593 2.364301
0.056152 -0.199584 2.366445
0.056641 -0.211724 2.364835
0.057129 -0.230721 2.361233
0.057617 -0.247995 2.357516
0.058105 -0.266056 2.351433
0.058594 -0.283329 2.343310
0.059082 -0.300491 2.333214
0.059570 -0.325034 2.321467
0.060059 -0.351825 2.310086
0.060547 -0.371871 2.298410
0.061035 -0.388958 2.285210
0.061523 -0.409079 2.270347
0.062012 -0.426765 2.253712
0.062500 -0.443140 2.235087
0.062988 -0.452170 2.212067
0.063477 -0.464310 2.185337
