National Instruments Acquisition
Time    Volt001
0.000000 0.000033
0.000488 -0.000060
0.000977 0.000044
0.001465 -0.000042
0.001953 -0.000079
0.002441 0.000104
0.002930 -0.000105
0.003418 0.000029
0.003906 0.000037
0.004395 -0.000109
0.004883 0.000067
0.005371 -0.000105
0.005859 -0.000142
0.006348 -0.000075
0.006836 0.000018
0.007324 0.000037
0.007813 -0.000142
0.008301 -0.000139
0.008789 -0.000146
0.009277 -0.000023
0.009766 -0.000000
0.010254 -0.000038
0.010742 0.000022
0.011230 -0.000034
0.011719 -0.000045
0.012207 0.000018
0.012695 -0.000008
0.013184 -0.000079
0.013672 -0.000068
0.014160 -0.000124
0.014648 -0.000042
0.015137 0.000056
0.015625 0.000093
0.016113 0.000100
0.016602 -0.000075
0.017090 -0.000056
0.017578 0.000007
0.018066 -0.000086
0.018555 -0.000038
0.019043 0.000044
0.019531 -0.000042
0.020020 -0.000064
0.020508 0.000063
0.020996 0.000119
0.021484 -0.000038
0.021973 -0.000098
0.022461 0.000142
0.022949 0.000078
0.023438 -0.000012
0.023926 -0.000056
0.024414 -0.000169
0.024902 0.000052
0.025391 -0.000042
0.025879 -0.000120
0.026367 0.000157
0.026855 0.000044
0.027344 0.000011
0.027832 0.000108
0.028320 0.000022
0.028809 0.000022
0.029297 -0.000068
0.029785 -0.000124
0.030273 -0.000012
0.030762 0.000123
0.031250 0.000089
0.031738 -0.000027
0.032227 0.000059
0.032715 0.000067
0.033203 0.000011
0.033691 0.000007
0.034180 -0.000045
0.034668 -0.000030
0.035156 -0.000060
0.035645 -0.000049
0.036133 -0.000049
0.036621 -0.000064
0.037109 -0.000053
0.037598 -0.000109
0.038086 -0.000023
0.038574 -0.000079
0.039063 -0.000000
0.039551 0.000108
0.040039 0.000056
0.040527 0.000112
0.041016 -0.000053
0.041504 0.000037
0.041992 0.000112
0.042480 0.000048
0.042969 0.000063
0.043457 -0.000004
0.043945 0.000082
0.044434 0.000052
0.044922 -0.000015
0.045410 -0.000075
0.045898 -0.000105
0.046387 -0.000019
0.046875 0.000022
0.047363 0.000071
0.047852 0.000037
0.048340 0.000115
0.048828 0.000209
0.049316 0.000015
0.049805 -0.000109
0.050293 -0.000019
0.050781 0.000007
0.051270 -0.000124
0.051758 -0.000019
0.052246 0.000015
0.052734 -0.000116
0.053223 0.000063
0.053711 0.000089
0.054199 0.000011
0.054688 -0.000139
0.055176 -0.000124
0.055664 -0.000030
0.056152 -0.000139
0.056641 0.000067
0.057129 0.000097
0.057617 -0.000034
0.058105 -0.000120
0.058594 -0.000019
0.059082 0.000280
0.059570 0.000026
0.060059 0.000037
0.060547 0.000186
0.061035 -0.000056
0.061523 0.000119
0.062012 0.000100
0.062500 -0.000053
0.062988 0.000082
0.063477 0.000071
0.063965 -0.000027
0.064453 -0.000034
0.064941 0.000026
0.065430 -0.000004
0.065918 0.000056
0.066406 0.000044
0.066895 -0.000056
0.067383 -0.000038
0.067871 -0.000023
0.068359 -0.000045
0.068848 -0.000034
0.069336 0.000127
0.069824 0.000100
0.070313 -0.000038
0.070801 0.000059
0.071289 0.000041
0.071777 -0.000030
0.072266 0.000115
0.072754 0.000127
0.073242 0.000056
0.073730 0.000186
0.074219 0.000112
0.074707 -0.000127
0.075195 -0.000094
0.075684 0.000011
0.076172 0.000037
0.076660 -0.000019
0.077148 -0.000172
0.077637 -0.000053
0.078125 0.000022
0.078613 -0.000023
0.079102 -0.000049
0.079590 -0.000113
0.080078 0.000149
0.080566 0.000052
0.081055 -0.000068
0.081543 0.000086
0.082031 0.000026
0.082520 -0.000030
0.083008 0.000078
0.083496 0.000190
0.083984 -0.000150
0.084473 -0.000075
0.084961 0.000078
0.085449 -0.000169
0.085938 -0.000086
0.086426 -0.000056
0.086914 -0.000004
0.087402 0.000033
0.087891 0.000029
0.088379 0.000082
0.088867 -0.000116
0.089355 -0.000150
0.089844 -0.000056
0.090332 -0.000008
0.090820 0.000052
0.091309 -0.000053
0.091797 -0.000075
0.092285 -0.000034
0.092773 0.000112
0.093262 0.000003
0.093750 0.000052
0.094238 0.000198
0.094727 -0.000086
0.095215 0.000123
0.095703 0.000059
0.096191 -0.000157
0.096680 0.000044
0.097168 0.000093
0.097656 0.000059
0.098145 0.000018
0.098633 0.000104
0.099121 -0.000071
0.099609 -0.000109
0.100098 0.000097
0.100586 -0.000056
0.101074 -0.000116
0.101563 0.000022
0.102051 0.000018
0.102539 -0.000034
0.103027 0.000026
0.103516 0.000037
0.104004 -0.000090
0.104492 -0.000049
0.104980 0.000022
0.105469 -0.000053
0.105957 0.000003
0.106445 -0.000027
0.106934 0.000044
0.107422 0.000168
0.107910 -0.000000
0.108398 -0.000015
0.108887 0.000100
0.109375 0.000059
0.109863 -0.000127
0.110352 -0.000127
0.110840 -0.000015
0.111328 -0.000060
0.111816 0.000015
0.112305 0.000052
0.112793 0.000067
0.113281 0.000171
0.113770 0.000033
0.114258 -0.000086
0.114746 0.000056
0.115234 0.000074
0.115723 0.000033
0.116211 0.000089
0.116699 0.000018
0.117188 0.000029
0.117676 0.000037
0.118164 -0.000056
0.118652 0.000119
0.119141 0.000179
0.119629 0.000015
0.120117 -0.000079
0.120605 -0.000023
0.121094 -0.000038
0.121582 -0.000146
0.122070 -0.000034
0.122559 0.000033
0.123047 -0.000045
0.123535 -0.000090
0.124023 -0.000105
0.124512 -0.000027
0.125000 0.000059
0.125488 -0.000053
0.125977 -0.000086
0.126465 0.000097
0.126953 0.000063
0.127441 0.000022
0.127930 0.000026
0.128418 -0.000113
0.128906 -0.000023
0.129395 0.000044
0.129883 0.000067
0.130371 0.000044
0.130859 -0.000195
0.131348 -0.000075
0.131836 -0.000042
0.132324 -0.000210
0.132813 -0.000038
0.133301 -0.000060
0.133789 -0.000053
0.134277 0.000022
0.134766 -0.000015
0.135254 0.000100
0.135742 0.000015
0.136230 -0.000027
0.136719 0.000071
0.137207 0.000059
0.137695 0.000037
0.138184 -0.000071
0.138672 -0.000027
0.139160 0.000201
0.139648 0.000179
0.140137 -0.000060
0.140625 -0.000086
0.141113 0.000044
0.141602 0.000015
0.142090 -0.000053
0.142578 0.000186
0.143066 0.000112
0.143555 -0.000191
0.144043 -0.000086
0.144531 -0.000071
0.145020 0.000033
0.145508 0.000093
0.145996 0.000052
0.146484 0.000052
0.146973 -0.000056
0.147461 -0.000023
0.147949 -0.000012
0.148438 0.000044
0.148926 -0.000056
0.149414 -0.000165
0.149902 -0.000101
0.150391 -0.000034
0.150879 0.000059
0.151367 0.000011
0.151855 0.000011
0.152344 0.000007
0.152832 -0.000049
0.153320 -0.000027
0.153809 0.000026
0.154297 0.000044
0.154785 -0.000049
0.155273 -0.000030
0.155762 -0.000000
0.156250 -0.000019
0.156738 0.000119
0.157227 0.000134
0.157715 0.000007
0.158203 -0.000034
0.158691 0.000007
0.159180 0.000026
0.159668 0.000018
0.160156 -0.000015
0.160645 -0.000071
0.161133 -0.000127
0.161621 -0.000068
0.162109 0.000007
0.162598 -0.000135
0.163086 -0.000068
0.163574 0.000082
0.164063 -0.000075
0.164551 -0.000083
0.165039 0.000011
0.165527 0.000007
0.166016 0.000115
0.166504 0.000056
0.166992 -0.000042
0.167480 -0.000053
0.167969 -0.000105
0.168457 -0.000060
0.168945 -0.000064
0.169434 -0.000012
0.169922 -0.000064
0.170410 -0.000042
0.170898 0.000112
0.171387 -0.000071
0.171875 -0.000042
0.172363 0.000082
0.172852 -0.000012
0.173340 -0.000086
0.173828 -0.000071
0.174316 0.000123
0.174805 -0.000012
0.175293 -0.000094
0.175781 0.000142
0.176270 0.000011
0.176758 0.000011
0.177246 0.000119
0.177734 -0.000042
0.178223 -0.000042
0.178711 0.000112
0.179199 0.000063
0.179688 0.000044
0.180176 0.000089
0.180664 -0.000090
0.181152 -0.000034
0.181641 -0.000012
0.182129 -0.000157
0.182617 -0.000049
0.183105 -0.000027
0.183594 -0.000113
0.184082 -0.000150
0.184570 -0.000113
0.185059 -0.000023
0.185547 0.000033
0.186035 0.000067
0.186523 0.000086
0.187012 0.000089
0.187500 -0.000012
0.187988 -0.000071
0.188477 -0.000000
0.188965 0.000022
0.189453 -0.000142
0.189941 -0.000131
0.190430 0.000063
0.190918 -0.000049
0.191406 -0.000090
0.191895 -0.000015
0.192383 -0.000056
0.192871 -0.000042
0.193359 0.000029
0.193848 0.000115
0.194336 -0.000000
0.194824 -0.000030
0.195313 0.000089
0.195801 0.000018
0.196289 -0.000023
0.196777 -0.000015
0.197266 -0.000198
0.197754 -0.000086
0.198242 0.000160
0.198730 -0.000101
0.199219 -0.000094
0.199707 -0.000027
0.200195 -0.000213
0.200684 -0.000109
0.201172 -0.000042
0.201660 0.000078
0.202148 0.000026
0.202637 -0.000068
0.203125 0.000115
0.203613 0.000022
0.204102 0.000067
0.204590 0.000100
0.205078 -0.000083
0.205566 -0.000090
0.206055 -0.000079
0.206543 0.000033
0.207031 0.000022
0.207520 -0.000075
0.208008 -0.000083
0.208496 -0.000124
0.208984 -0.000056
0.209473 0.000078
0.209961 0.000123
