National Instruments Acquisition
Time    Acc001    Volt001
0.000000 -0.891986 0.009763
0.000488 -0.917723 0.011821
0.000977 -0.943423 0.014276
0.001465 -0.968707 0.016630
0.001953 -0.997397 0.018838
0.002441 -1.031500 0.021188
0.002930 -1.057048 0.023329
0.003418 -1.077714 0.025347
0.003906 -1.086268 0.027279
0.004395 -1.085209 0.028736
0.004883 -1.071734 0.030305
0.005371 -1.053453 0.031759
0.005859 -1.025368 0.032607
0.006348 -0.989638 0.033533
0.006836 -0.984642 0.034195
0.007324 -0.958753 0.034553
0.007813 -0.915793 0.034849
0.008301 -0.893765 0.034662
0.008789 -0.859965 0.034721
0.009277 -0.842100 0.034815
0.009766 -0.828247 0.034445
0.010254 -0.807959 0.034217
0.010742 -0.791078 0.033653
0.011230 -0.772040 0.033033
0.011719 -0.763486 0.032771
0.012207 -0.735212 0.032087
0.012695 -0.741268 0.031273
0.013184 -0.741495 0.030466
0.013672 -0.719353 0.029307
0.014160 -0.741836 0.027798
0.014648 -0.740132 0.026218
0.015137 -0.730443 0.024701
0.015625 -0.717422 0.022769
0.016113 -0.698573 0.020740
0.016602 -0.683168 0.018610
0.017090 -0.664887 0.016137
0.017578 -0.649104 0.013615
0.018066 -0.616666 0.010988
0.018555 -0.603116 0.008436
0.019043 -0.576811 0.005656
0.019531 -0.546304 0.002869
0.020020 -0.519960 0.000534
0.020508 -0.467463 -0.001940
0.020996 -0.448765 -0.004465
0.021484 -0.375677 -0.006666
0.021973 -0.326283 -0.008755
0.022461 -0.330976 -0.010638
0.022949 -0.248199 -0.012256
0.023438 -0.187299 -0.013754
0.023926 -0.125717 -0.015084
0.024414 -0.076437 -0.016205
0.024902 -0.044794 -0.017109
0.025391 0.020875 -0.018036
0.025879 0.063078 -0.018645
0.026367 0.120004 -0.018873
0.026855 0.170987 -0.019131
0.027344 0.231395 -0.019299
0.027832 0.328669 -0.019358
0.028320 0.394339 -0.018974
0.028809 0.486730 -0.018451
0.029297 0.622951 -0.017935
0.029785 0.733586 -0.017169
0.030273 0.892328 -0.016429
0.030762 1.105687 -0.015398
0.031250 1.313218 -0.014202
0.031738 1.486304 -0.012868
0.032227 1.608521 -0.011307
0.032715 1.724001 -0.009726
0.033203 1.825703 -0.008179
0.033691 1.900419 -0.006625
0.034180 1.956550 -0.004787
0.034668 1.997163 -0.003102
0.035156 2.041674 -0.001308
0.035645 2.070213 0.000620
0.036133 2.096102 0.002282
0.036621 2.102423 0.003941
0.037109 2.095345 0.005417
0.037598 2.131302 0.007099
0.038086 2.122332 0.008978
0.038574 2.090765 0.010764
0.039063 2.070175 0.012438
0.039551 2.024339 0.013992
0.040039 1.989366 0.015494
0.040527 1.942886 0.016750
0.041016 1.873962 0.018110
0.041504 1.781571 0.019365
0.041992 1.695197 0.020101
0.042480 1.607878 0.020807
0.042969 1.510945 0.021364
0.043457 1.425215 0.021603
0.043945 1.326314 0.021708
0.044434 1.241757 0.021267
0.044922 1.162273 0.020497
0.045410 1.086497 0.019787
0.045898 1.005840 0.018498
0.046387 0.922759 0.016903
0.046875 0.863979 0.015121
0.047363 0.787106 0.012875
0.047852 0.738544 0.010488
0.048340 0.683132 0.007678
0.048828 0.633663 0.004711
0.049316 0.624011 0.001614
0.049805 0.580295 -0.001760
0.050293 0.570681 -0.005381
0.050781 0.535821 -0.009199
0.051270 0.515799 -0.012809
0.051758 0.516858 -0.016672
0.052246 0.479236 -0.020435
0.052734 0.491045 -0.023689
0.053223 0.488509 -0.026865
0.053711 0.497063 -0.029858
0.054199 0.426662 -0.032324
0.054688 0.447707 -0.034244
0.055176 0.597365 -0.036116
0.055664 0.628364 -0.037719
0.056152 0.689453 -0.039198
0.056641 0.712617 -0.040514
0.057129 0.724275 -0.041227
0.057617 0.780368 -0.041997
0.058105 0.838430 -0.042737
0.058594 0.892442 -0.043555
0.059082 0.929497 -0.044257
0.059570 0.985893 -0.044743
