National Instruments Acquisition
Time    Acc001    Volt001
0.000000 0.007363 -0.000042
0.000488 0.004675 -0.000127
0.000977 0.005016 -0.000079
0.001465 0.004145 0.000142
0.001953 0.005735 -0.000042
0.002441 0.000096 -0.000131
0.002930 -0.013228 0.000033
0.003418 -0.014401 0.000029
0.003906 -0.012243 -0.000034
0.004395 -0.014098 -0.000191
0.004883 -0.013682 -0.000183
0.005371 -0.012168 -0.000027
0.005859 -0.013833 -0.000198
0.006348 -0.004371 -0.000030
0.006836 0.004373 0.000067
0.007324 0.000285 -0.000172
0.007813 0.000209 -0.000019
0.008301 0.000398 0.000078
0.008789 0.000966 -0.000053
0.009277 0.000663 -0.000247
0.009766 0.001345 -0.000131
0.010254 -0.000207 -0.000083
0.010742 -0.002895 -0.000105
0.011230 -0.002705 0.000074
0.011719 -0.004938 -0.000060
0.012207 -0.005317 -0.000079
0.012695 -0.013152 -0.000060
0.013184 -0.020305 -0.000056
0.013672 -0.021706 -0.000135
0.014160 -0.024204 -0.000195
0.014648 -0.022387 0.000003
0.015137 -0.021365 -0.000042
0.015625 -0.020381 -0.000053
0.016113 -0.013265 -0.000210
0.016602 -0.003576 -0.000183
0.017090 -0.001381 0.000011
0.017578 -0.000094 -0.000068
0.018066 0.001874 0.000022
0.018555 0.000663 -0.000068
0.019043 0.002631 -0.000139
0.019531 0.001269 -0.000027
0.020020 -0.000889 -0.000034
0.020508 0.001155 -0.000098
0.020996 0.000815 -0.000004
0.021484 -0.004863 0.000134
0.021973 -0.010692 -0.000060
0.022461 -0.009745 -0.000019
0.022949 -0.004106 -0.000019
0.023438 -0.002592 -0.000176
0.023926 -0.004144 -0.000053
0.024414 -0.001948 -0.000187
0.024902 -0.001759 -0.000094
0.025391 -0.001873 0.000029
0.025879 -0.000359 -0.000124
0.026367 -0.004068 -0.000045
0.026855 -0.006036 -0.000023
0.027344 -0.004938 0.000003
0.027832 -0.004106 -0.000064
0.028320 -0.003576 -0.000165
0.028809 -0.004295 -0.000176
0.029297 -0.003311 -0.000000
0.029785 -0.002667 -0.000083
0.030273 -0.001873 -0.000292
0.030762 -0.000434 -0.000019
0.031250 -0.000586 -0.000071
0.031738 -0.000775 -0.000124
0.032227 0.000096 -0.000071
0.032715 0.003275 -0.000034
0.033203 0.003994 0.000086
0.033691 0.003881 -0.000034
0.034180 0.007022 0.000093
0.034668 0.007060 -0.000042
0.035156 0.007022 -0.000202
0.035645 0.008120 0.000003
0.036133 0.005470 -0.000120
0.036621 0.002594 -0.000120
0.037109 0.000966 -0.000101
0.037598 0.001799 -0.000109
0.038086 0.002631 0.000033
0.038574 0.001496 -0.000146
0.039063 0.002329 -0.000213
0.039551 0.001420 -0.000146
0.040039 -0.001532 -0.000019
0.040527 -0.003008 0.000097
0.041016 -0.003197 -0.000015
0.041504 -0.002365 -0.000038
0.041992 -0.004409 0.000022
0.042480 -0.003614 -0.000000
0.042969 0.004032 -0.000161
0.043457 0.003616 -0.000075
0.043945 -0.001040 -0.000086
0.044434 0.000096 -0.000127
0.044922 -0.001683 0.000029
0.045410 -0.002175 -0.000240
0.045898 -0.001532 -0.000161
0.046387 -0.007664 0.000041
0.046875 -0.010048 -0.000183
0.047363 -0.009253 -0.000056
0.047852 -0.010124 0.000018
0.048340 -0.009973 -0.000053
0.048828 -0.012508 -0.000064
0.049316 -0.013417 -0.000154
0.049805 -0.013076 0.000037
0.050293 -0.012546 0.000037
0.050781 -0.012092 -0.000094
0.051270 -0.013644 0.000067
0.051758 -0.011714 -0.000068
0.052246 -0.013076 -0.000139
0.052734 -0.012660 -0.000101
0.053223 -0.008307 -0.000191
0.053711 -0.009367 -0.000075
0.054199 -0.007285 -0.000094
0.054688 -0.006150 -0.000019
0.055176 -0.007361 0.000071
0.055664 -0.006150 0.000011
0.056152 -0.008723 -0.000068
0.056641 -0.009935 -0.000139
0.057129 -0.009178 0.000018
0.057617 -0.009973 0.000033
0.058105 -0.010805 -0.000060
0.058594 -0.010843 -0.000247
0.059082 -0.009102 -0.000068
0.059570 -0.008156 0.000153
0.060059 -0.007134 -0.000098
0.060547 -0.006566 0.000044
0.061035 -0.006642 0.000082
0.061523 -0.003160 -0.000079
0.062012 -0.001078 -0.000053
0.062500 -0.000245 -0.000071
0.062988 0.004940 -0.000023
0.063477 0.007628 -0.000090
0.063965 0.008082 -0.000042
0.064453 0.009407 -0.000045
0.064941 0.008233 -0.000142
0.065430 0.008574 0.000048
0.065918 0.008801 -0.000075
0.066406 0.005773 -0.000094
0.066895 0.003805 0.000044
0.067383 0.004297 -0.000176
0.067871 0.004562 -0.000068
0.068359 0.003351 0.000026
0.068848 0.003275 -0.000023
0.069336 0.004221 0.000026
0.069824 0.003199 0.000022
0.070313 0.004865 0.000089
0.070801 0.006871 0.000003
0.071289 0.005357 0.000048
0.071777 0.004070 0.000029
0.072266 0.001610 -0.000135
0.072754 0.001950 -0.000068
0.073242 0.003388 -0.000042
0.073730 0.003767 0.000059
0.074219 0.004145 -0.000000
0.074707 0.001345 -0.000187
0.075195 0.001950 -0.000098
0.075684 0.002329 -0.000019
0.076172 -0.001381 -0.000060
0.076660 -0.003008 -0.000023
0.077148 -0.003160 -0.000131
0.077637 -0.001759 -0.000075
0.078125 -0.001646 0.000086
0.078613 -0.003160 -0.000113
0.079102 -0.003273 -0.000012
0.079590 -0.003538 0.000052
0.080078 -0.003689 0.000048
0.080566 -0.003349 0.000059
0.081055 -0.004219 -0.000090
0.081543 -0.003235 -0.000042
0.082031 -0.001835 -0.000086
0.082520 -0.002819 0.000123
0.083008 -0.000889 0.000048
0.083496 -0.000434 -0.000142
0.083984 -0.000397 0.000011
0.084473 0.001950 -0.000176
0.084961 0.001193 -0.000202
0.085449 0.001496 -0.000195
0.085938 -0.000926 -0.000116
0.086426 -0.004030 0.000059
0.086914 -0.001343 -0.000101
0.087402 -0.003197 -0.000120
0.087891 -0.003084 -0.000053
0.088379 0.001231 -0.000023
0.088867 -0.001040 -0.000015
0.089355 0.000020 -0.000079
0.089844 0.001042 -0.000030
0.090332 -0.000207 -0.000030
0.090820 0.003578 0.000041
0.091309 0.003540 0.000029
0.091797 0.004070 -0.000146
0.092285 0.005243 -0.000098
0.092773 0.005281 -0.000113
0.093262 0.007855 -0.000105
0.093750 0.007022 0.000123
0.094238 0.006454 0.000048
0.094727 0.006227 -0.000086
0.095215 0.005054 -0.000023
0.095703 0.004486 -0.000109
0.096191 0.003048 -0.000083
0.096680 0.003048 -0.000105
0.097168 0.001799 -0.000161
0.097656 0.000777 -0.000098
0.098145 0.002594 -0.000075
0.098633 0.003426 0.000018
0.099121 0.003426 -0.000068
0.099609 0.003313 -0.000027
0.100098 0.002177 -0.000109
0.100586 0.001761 -0.000142
0.101074 0.002215 -0.000015
0.101563 0.002707 -0.000198
0.102051 0.002556 -0.000023
0.102539 0.001761 -0.000034
0.103027 0.002972 -0.000150
0.103516 0.003502 -0.000030
0.104004 0.000890 -0.000083
0.104492 0.000966 -0.000090
0.104980 0.002934 -0.000086
0.105469 0.000663 -0.000086
0.105957 0.000398 -0.000113
0.106445 0.001382 -0.000000
0.106934 -0.000661 0.000071
0.107422 -0.001191 -0.000165
0.107910 -0.002289 -0.000161
0.108398 -0.001986 0.000007
0.108887 -0.002024 -0.000034
0.109375 -0.002440 -0.000049
0.109863 -0.001078 -0.000083
0.110352 -0.001191 -0.000034
0.110840 -0.001154 0.000041
0.111328 -0.003538 0.000029
0.111816 -0.003424 0.000011
0.112305 -0.002516 -0.000172
0.112793 -0.003954 -0.000105
0.113281 -0.002024 0.000086
0.113770 -0.001835 -0.000064
0.114258 -0.002819 -0.000131
0.114746 -0.003311 -0.000042
0.115234 -0.003273 -0.000071
0.115723 -0.001002 -0.000030
0.116211 -0.000472 -0.000023
0.116699 -0.000586 -0.000113
0.117188 0.000928 -0.000098
0.117676 0.002631 -0.000004
0.118164 0.003426 0.000086
0.118652 0.003388 -0.000049
0.119141 0.003388 -0.000109
0.119629 0.002783 -0.000139
